batch_id,timestamp,node_type,commodity,category,initial_quantity_kg,current_quantity_kg,days_since_harvest,shelf_life_days,days_to_expiry,storage_temp_celsius,optimal_temp_celsius,storage_humidity_pct,original_price_per_kg,recommended_price_per_kg,discount_percentage,urgency_level,spoilage_risk_percentage,waste_avoided_kg,revenue_recovered_inr,carbon_saved_kg_co2
BATCH-PRX-01956,2025-01-04 00:00:00,Wholesaler Depot,Onion,Vegetable,1676,915.6,13,30,17,12.2,10.0,91.5,35.22,31.42,10.8,low,5.0,517.1,16247.28,1034.2
BATCH-PRX-00144,2025-01-05 00:00:00,Wholesaler Depot,Apple,Fruit,4356,692.1,24,25,1,8.9,2.0,86.6,177.51,62.66,64.7,critical,100.0,614.7,38517.1,1229.4
BATCH-PRX-00784,2025-01-05 00:00:00,Wholesaler Depot,Tomato,Vegetable,3658,1558.5,4,7,3,24.1,12.0,69.6,38.84,19.69,49.3,high,93.6,1240.3,24421.51,2480.6
BATCH-PRX-00405,2025-01-06 00:00:00,Retail Supermarket,Onion,Vegetable,997,666.4,7,30,23,21.7,10.0,74.1,34.98,31.66,9.5,low,51.8,371.2,11752.19,742.4
BATCH-PRX-01416,2025-01-06 00:00:00,Farm Hub,Banana,Fruit,1288,293.1,4,6,2,17.4,14.0,81.0,60.25,34.7,42.4,high,45.0,221.1,7672.17,442.2
BATCH-PRX-01602,2025-01-06 00:00:00,Mandi Yard,Ginger,Spice,4301,1002.3,14,20,6,22.7,12.0,65.9,129.41,96.67,25.3,medium,62.6,653.3,63154.51,1306.6
BATCH-PRX-01929,2025-01-06 00:00:00,Farm Hub,Apple,Fruit,2610,685.6,16,25,9,10.4,2.0,81.9,159.32,144.03,9.6,low,38.5,382.3,55062.67,764.6
BATCH-PRX-00049,2025-01-07 00:00:00,Farm Hub,Banana,Fruit,2738,1625.2,1,6,5,23.0,14.0,74.2,58.03,41.2,29.0,medium,56.0,1095.4,45130.48,2190.8
BATCH-PRX-00596,2025-01-07 00:00:00,Retail Supermarket,Onion,Vegetable,4339,664.9,31,30,-1,8.2,10.0,78.7,34.83,8.71,75.0,critical,95.0,0.0,0.0,0.0
BATCH-PRX-01498,2025-01-07 00:00:00,Wholesaler Depot,Apple,Fruit,3199,2942.1,2,25,23,6.2,2.0,66.5,194.5,153.85,20.9,low,5.0,1840.0,283084.0,3680.0
BATCH-PRX-01681,2025-01-07 00:00:00,Retail Supermarket,Mango,Fruit,2153,894.3,3,7,4,24.5,12.0,65.1,102.67,75.05,26.9,medium,70.2,591.5,44392.07,1183.0
BATCH-PRX-00106,2025-01-08 00:00:00,Wholesaler Depot,Wheat,Cereal,537,80.4,233,180,-53,26.8,22.0,70.6,34.36,8.86,74.2,critical,95.0,0.0,0.0,0.0
BATCH-PRX-00229,2025-01-08 00:00:00,Wholesaler Depot,Banana,Fruit,3929,646.6,5,6,1,20.8,14.0,71.2,56.68,20.35,64.1,critical,100.0,572.0,11640.2,1144.0
BATCH-PRX-00634,2025-01-08 00:00:00,Retail Supermarket,Garlic,Spice / Vegetable,3446,710.3,46,60,14,27.0,15.0,89.4,162.64,149.63,8.0,low,53.0,389.2,58236.0,778.4
BATCH-PRX-01115,2025-01-08 00:00:00,Farm Hub,Onion,Vegetable,1037,194.8,27,30,3,19.1,10.0,87.2,35.61,20.58,42.2,high,81.6,146.7,3019.09,293.4
BATCH-PRX-00114,2025-01-09 00:00:00,Retail Supermarket,Cabbage,Vegetable,903,444.7,5,12,7,13.6,4.0,88.8,21.08,16.21,23.1,medium,58.6,284.0,4603.64,568.0
BATCH-PRX-00299,2025-01-09 00:00:00,Mandi Yard,Banana,Fruit,541,108.3,4,6,2,22.2,14.0,80.9,50.95,29.86,41.4,high,77.9,81.1,2421.65,162.2
BATCH-PRX-00009,2025-01-10 00:00:00,Farm Hub,Turmeric,Spice,2512,1217.8,30,120,90,29.5,20.0,82.7,167.53,150.44,10.2,low,42.9,683.4,102810.7,1366.8
BATCH-PRX-00086,2025-01-10 00:00:00,Retail Supermarket,Garlic,Spice / Vegetable,1956,1006.5,14,60,46,14.3,15.0,76.5,174.03,157.67,9.4,low,5.0,560.0,88295.2,1120.0
BATCH-PRX-00219,2025-01-10 00:00:00,Farm Hub,Green Chilli,Spice / Vegetable,826,128.6,9,10,1,16.4,10.0,67.1,131.75,51.51,60.9,critical,100.0,111.3,5733.06,222.6
BATCH-PRX-01914,2025-01-10 00:00:00,Wholesaler Depot,Orange,Fruit,2945,566.4,13,14,1,7.5,6.0,90.7,62.33,22.63,63.7,critical,75.0,499.7,11308.21,999.4
BATCH-PRX-00992,2025-01-11 00:00:00,Wholesaler Depot,Banana,Fruit,3694,610.8,5,6,1,18.2,14.0,77.7,58.08,20.91,64.0,critical,75.0,539.9,11289.31,1079.8
BATCH-PRX-00997,2025-01-11 00:00:00,Retail Supermarket,Onion,Vegetable,1341,169.1,29,30,1,21.5,10.0,71.6,33.2,12.62,62.0,critical,100.0,147.5,1861.45,295.0
BATCH-PRX-00178,2025-01-12 00:00:00,Farm Hub,Mango,Fruit,4456,811.8,8,7,-1,20.6,12.0,80.7,97.53,24.38,75.0,critical,100.0,0.0,0.0,0.0
BATCH-PRX-00182,2025-01-12 00:00:00,Farm Hub,Rice,Cereal,2292,319.3,143,180,37,25.1,22.0,75.4,46.08,43.73,5.1,low,5.0,169.4,7407.86,338.8
BATCH-PRX-00298,2025-01-12 00:00:00,Retail Supermarket,Cabbage,Vegetable,1291,1140.4,0,12,12,3.7,4.0,72.4,25.7,22.72,11.6,low,5.0,649.6,14758.91,1299.2
BATCH-PRX-00350,2025-01-12 00:00:00,Farm Hub,Green Chilli,Spice / Vegetable,2245,447.7,7,10,3,19.7,10.0,77.1,149.62,86.03,42.5,high,84.0,338.0,29078.14,676.0
BATCH-PRX-01877,2025-01-12 00:00:00,Mandi Yard,Orange,Fruit,2736,1059.0,5,14,9,5.2,6.0,91.6,55.66,49.43,11.2,low,5.0,600.7,29692.6,1201.4
BATCH-PRX-00096,2025-01-13 00:00:00,Mandi Yard,Green Chilli,Spice / Vegetable,4053,519.1,11,10,-1,20.2,10.0,89.9,159.3,39.83,75.0,critical,100.0,0.0,0.0,0.0
BATCH-PRX-00577,2025-01-13 00:00:00,Farm Hub,Banana,Fruit,2846,1627.6,1,6,5,20.6,14.0,80.4,49.68,35.27,29.0,medium,46.4,1097.0,38691.19,2194.0
BATCH-PRX-00645,2025-01-13 00:00:00,Wholesaler Depot,Wheat,Cereal,4282,3520.1,5,180,175,32.6,22.0,74.2,36.36,29.52,18.8,low,47.3,2157.1,63677.59,4314.2
BATCH-PRX-00928,2025-01-13 00:00:00,Mandi Yard,Onion,Vegetable,4319,841.0,30,30,0,8.4,10.0,74.5,40.29,10.07,75.0,critical,95.0,798.9,8044.92,1597.8
BATCH-PRX-01389,2025-01-13 00:00:00,Retail Supermarket,Onion,Vegetable,1835,925.5,7,30,23,14.5,10.0,78.1,33.79,30.14,10.8,low,5.0,522.7,15754.18,1045.4
BATCH-PRX-01803,2025-01-13 00:00:00,Wholesaler Depot,Potato,Vegetable,2310,745.4,23,35,12,12.4,8.0,75.7,25.37,23.01,9.3,low,5.0,414.3,9533.04,828.6
BATCH-PRX-00452,2025-01-14 00:00:00,Wholesaler Depot,Mango,Fruit,1756,1174.5,1,7,6,14.3,12.0,78.8,90.24,64.7,28.3,medium,20.0,786.7,50899.49,1573.4
BATCH-PRX-00688,2025-01-14 00:00:00,Wholesaler Depot,Turmeric,Spice,3541,1684.4,47,120,73,20.8,20.0,75.9,156.98,137.36,12.5,low,5.0,968.5,133033.16,1937.0
BATCH-PRX-01776,2025-01-14 00:00:00,Wholesaler Depot,Wheat,Cereal,2501,1748.1,6,180,174,34.4,22.0,70.6,36.65,32.07,12.5,low,54.8,1005.2,32236.76,2010.4
BATCH-PRX-01851,2025-01-14 00:00:00,Retail Supermarket,Rice,Cereal,2820,368.6,206,180,-26,34.3,22.0,74.8,53.17,13.29,75.0,critical,100.0,0.0,0.0,0.0
BATCH-PRX-00266,2025-01-15 00:00:00,Retail Supermarket,Cauliflower,Vegetable,314,58.3,8,8,0,16.4,5.0,73.5,28.39,7.1,75.0,critical,100.0,55.4,393.34,110.8
BATCH-PRX-01124,2025-01-15 00:00:00,Farm Hub,Potato,Vegetable,590,485.9,3,35,32,19.7,8.0,86.5,28.94,26.62,8.0,low,52.0,266.3,7088.91,532.6
BATCH-PRX-00285,2025-01-16 00:00:00,Wholesaler Depot,Orange,Fruit,644,157.2,9,14,5,16.4,6.0,73.9,58.29,45.64,21.7,medium,61.4,99.1,4522.92,198.2
BATCH-PRX-00796,2025-01-16 00:00:00,Farm Hub,Ginger,Spice,3649,1054.9,13,20,7,12.0,12.0,87.7,109.15,81.21,25.6,medium,20.0,689.5,55994.29,1379.0
BATCH-PRX-01405,2025-01-16 00:00:00,Retail Supermarket,Orange,Fruit,2890,927.5,7,14,7,6.6,6.0,75.1,61.22,45.61,25.5,medium,20.0,605.7,27625.98,1211.4
BATCH-PRX-01503,2025-01-16 00:00:00,Farm Hub,Green Chilli,Spice / Vegetable,1026,224.9,7,10,3,10.2,10.0,83.9,143.83,84.28,41.4,high,45.0,168.3,14184.32,336.6
BATCH-PRX-00162,2025-01-17 00:00:00,Farm Hub,Banana,Fruit,2610,950.0,3,6,3,24.5,14.0,88.6,59.62,32.43,45.6,high,86.9,734.9,23832.81,1469.8
BATCH-PRX-00339,2025-01-17 00:00:00,Retail Supermarket,Cabbage,Vegetable,1928,250.2,11,12,1,16.8,4.0,66.7,24.78,9.37,62.2,critical,100.0,218.5,2047.34,437.0
BATCH-PRX-00493,2025-01-17 00:00:00,Farm Hub,Wheat,Cereal,2048,345.0,202,180,-22,22.9,22.0,85.5,37.67,9.42,75.0,critical,95.0,0.0,0.0,0.0
BATCH-PRX-00786,2025-01-17 00:00:00,Mandi Yard,Potato,Vegetable,4436,651.4,31,35,4,16.4,8.0,84.2,26.07,19.84,23.9,medium,53.6,419.1,8314.94,838.2
BATCH-PRX-00954,2025-01-17 00:00:00,Farm Hub,Apple,Fruit,2454,910.1,13,25,12,15.5,2.0,75.4,165.07,147.24,10.8,low,58.9,514.0,75681.36,1028.0
BATCH-PRX-00330,2025-01-18 00:00:00,Retail Supermarket,Apple,Fruit,1174,633.1,8,25,17,8.9,2.0,88.1,188.68,170.94,9.4,low,32.4,352.3,60222.16,704.6
BATCH-PRX-00393,2025-01-18 00:00:00,Mandi Yard,Tomato,Vegetable,183,78.7,3,7,4,10.1,12.0,76.7,46.12,36.02,21.9,medium,20.0,49.7,1790.19,99.4
BATCH-PRX-00501,2025-01-18 00:00:00,Farm Hub,Apple,Fruit,3549,1536.3,12,25,13,2.9,2.0,65.3,186.3,160.4,13.9,low,5.0,896.3,143766.52,1792.6
BATCH-PRX-00013,2025-01-19 00:00:00,Farm Hub,Potato,Vegetable,3705,501.9,28,35,7,18.7,8.0,70.2,29.86,22.96,23.1,medium,62.7,320.5,7358.68,641.0
BATCH-PRX-00057,2025-01-19 00:00:00,Farm Hub,Onion,Vegetable,2172,1279.0,4,30,26,8.6,10.0,68.9,37.92,33.14,12.6,low,5.0,736.2,24397.67,1472.4
BATCH-PRX-00367,2025-01-19 00:00:00,Wholesaler Depot,Garlic,Spice / Vegetable,518,96.2,63,60,-3,15.9,15.0,77.3,164.28,41.23,74.9,critical,95.0,0.0,0.0,0.0
BATCH-PRX-00502,2025-01-19 00:00:00,Mandi Yard,Apple,Fruit,1440,581.4,9,25,16,5.1,2.0,69.6,157.6,143.26,9.1,low,5.0,322.4,46187.02,644.8
BATCH-PRX-01244,2025-01-19 00:00:00,Wholesaler Depot,Mango,Fruit,3649,1039.0,5,7,2,22.3,12.0,66.1,93.54,49.01,47.6,high,86.3,816.2,40001.96,1632.4
BATCH-PRX-01330,2025-01-19 00:00:00,Farm Hub,Garlic,Spice / Vegetable,2961,616.2,45,60,15,18.0,15.0,87.1,184.55,170.71,7.5,low,5.0,335.8,57324.42,671.6
BATCH-PRX-01358,2025-01-19 00:00:00,Retail Supermarket,Carrot,Vegetable,3709,597.5,19,15,-4,7.9,4.0,70.2,45.8,11.45,75.0,critical,95.0,0.0,0.0,0.0
BATCH-PRX-00557,2025-01-20 00:00:00,Wholesaler Depot,Turmeric,Spice,3505,673.2,131,120,-11,31.0,20.0,73.4,169.32,42.33,75.0,critical,100.0,0.0,0.0,0.0
BATCH-PRX-00582,2025-01-20 00:00:00,Mandi Yard,Garlic,Spice / Vegetable,2128,1507.9,14,60,46,20.0,15.0,70.6,171.88,151.43,11.9,low,5.0,861.6,130472.09,1723.2
BATCH-PRX-00700,2025-01-20 00:00:00,Retail Supermarket,Apple,Fruit,3857,3656.9,0,25,25,11.6,2.0,88.9,181.63,143.12,21.2,low,43.4,2293.6,328260.03,4587.2
BATCH-PRX-00780,2025-01-20 00:00:00,Retail Supermarket,Orange,Fruit,3031,566.2,17,14,-3,18.1,6.0,82.0,62.26,15.56,75.0,critical,100.0,0.0,0.0,0.0
BATCH-PRX-00847,2025-01-20 00:00:00,Wholesaler Depot,Orange,Fruit,4194,1036.1,10,14,4,8.2,6.0,67.6,68.32,50.49,26.1,medium,20.0,680.3,34348.35,1360.6
BATCH-PRX-01289,2025-01-20 00:00:00,Wholesaler Depot,Onion,Vegetable,833,117.5,36,30,-6,16.9,10.0,70.5,34.04,8.51,75.0,critical,100.0,0.0,0.0,0.0
BATCH-PRX-01450,2025-01-20 00:00:00,Retail Supermarket,Ginger,Spice,623,121.9,16,20,4,14.0,12.0,75.7,111.06,87.85,20.9,medium,20.0,76.2,6694.17,152.4
BATCH-PRX-00240,2025-01-21 00:00:00,Mandi Yard,Cauliflower,Vegetable,3219,584.4,7,8,1,13.4,5.0,78.9,30.63,11.03,64.0,critical,100.0,516.6,5698.1,1033.2
BATCH-PRX-01027,2025-01-21 00:00:00,Retail Supermarket,Ginger,Spice,4375,808.3,20,20,0,25.0,12.0,71.7,131.92,32.98,75.0,critical,100.0,767.9,25325.34,1535.8
BATCH-PRX-00071,2025-01-22 00:00:00,Farm Hub,Tomato,Vegetable,3443,607.1,8,7,-1,12.4,12.0,78.7,42.61,10.65,75.0,critical,95.0,0.0,0.0,0.0
BATCH-PRX-00311,2025-01-22 00:00:00,Farm Hub,Mango,Fruit,3801,1205.4,4,7,3,16.0,12.0,75.1,88.33,45.58,48.4,high,45.0,952.7,43424.07,1905.4
BATCH-PRX-00120,2025-01-23 00:00:00,Retail Supermarket,Onion,Vegetable,2894,1578.8,10,30,20,14.8,10.0,83.5,39.91,34.28,14.1,low,5.0,923.0,31640.44,1846.0
BATCH-PRX-00616,2025-01-23 00:00:00,Wholesaler Depot,Orange,Fruit,2622,1200.1,7,14,7,18.8,6.0,83.2,55.61,40.65,26.9,medium,71.3,793.7,32263.91,1587.4
BATCH-PRX-01461,2025-01-23 00:00:00,Retail Supermarket,Ginger,Spice,439,226.2,6,20,14,18.6,12.0,91.3,124.94,116.94,6.4,low,31.2,121.8,14243.29,243.6
BATCH-PRX-00379,2025-01-24 00:00:00,Wholesaler Depot,Cauliflower,Vegetable,1895,1692.9,0,8,8,14.8,5.0,67.6,32.3,27.62,14.5,low,44.2,993.7,27445.99,1987.4
BATCH-PRX-01006,2025-01-24 00:00:00,Farm Hub,Turmeric,Spice,665,368.5,40,120,80,18.2,20.0,81.1,153.23,144.19,5.9,low,5.0,197.3,28448.69,394.6
BATCH-PRX-01165,2025-01-24 00:00:00,Farm Hub,Onion,Vegetable,1069,413.4,17,30,13,12.6,10.0,71.2,34.2,31.36,8.3,low,5.0,227.3,7128.13,454.6
BATCH-PRX-01252,2025-01-24 00:00:00,Wholesaler Depot,Potato,Vegetable,263,52.3,34,35,1,9.8,8.0,85.7,30.38,11.88,60.9,critical,75.0,45.3,538.16,90.6
BATCH-PRX-01708,2025-01-24 00:00:00,Farm Hub,Ginger,Spice,3704,1075.2,13,20,7,12.1,12.0,69.6,107.4,79.8,25.7,medium,20.0,703.4,56131.32,1406.8
BATCH-PRX-00155,2025-01-25 00:00:00,Mandi Yard,Banana,Fruit,2710,1654.0,0,6,6,22.5,14.0,74.9,53.34,37.76,29.2,medium,53.9,1116.8,42170.37,2233.6
BATCH-PRX-00720,2025-01-25 00:00:00,Wholesaler Depot,Apple,Fruit,504,83.9,28,25,-3,12.9,2.0,75.3,161.83,40.46,75.0,critical,100.0,0.0,0.0,0.0
BATCH-PRX-00889,2025-01-25 00:00:00,Retail Supermarket,Wheat,Cereal,3270,2408.6,45,180,135,28.7,22.0,76.1,31.87,26.83,15.8,low,31.8,1432.6,38436.66,2865.2
BATCH-PRX-00890,2025-01-25 00:00:00,Mandi Yard,Tomato,Vegetable,2409,629.9,5,7,2,23.7,12.0,77.7,41.27,22.86,44.6,high,91.9,483.5,11052.81,967.0
BATCH-PRX-01051,2025-01-25 00:00:00,Wholesaler Depot,Wheat,Cereal,4267,2073.3,80,180,100,24.3,22.0,77.7,33.1,28.4,14.2,low,5.0,1213.3,34457.72,2426.6
BATCH-PRX-01975,2025-01-25 00:00:00,Mandi Yard,Rice,Cereal,3259,1623.5,84,180,96,26.3,22.0,71.7,50.14,44.32,11.6,low,5.0,924.7,40982.7,1849.4
BATCH-PRX-00185,2025-01-26 00:00:00,Retail Supermarket,Orange,Fruit,4190,518.8,13,14,1,4.5,6.0,65.2,66.06,24.11,63.5,critical,75.0,457.1,11020.68,914.2
BATCH-PRX-00306,2025-01-26 00:00:00,Farm Hub,Tomato,Vegetable,4366,2043.2,2,7,5,14.4,12.0,71.6,39.86,27.22,31.7,medium,20.0,1410.2,38385.64,2820.4
BATCH-PRX-00469,2025-01-26 00:00:00,Farm Hub,Cabbage,Vegetable,1427,230.1,13,12,-1,9.4,4.0,87.1,21.06,5.26,75.0,critical,100.0,0.0,0.0,0.0
BATCH-PRX-01393,2025-01-26 00:00:00,Mandi Yard,Tomato,Vegetable,3012,853.8,4,7,3,11.0,12.0,74.3,37.59,20.37,45.8,high,45.0,661.5,13474.76,1323.0
BATCH-PRX-00446,2025-01-27 00:00:00,Mandi Yard,Wheat,Cereal,877,145.7,233,180,-53,22.9,22.0,80.1,33.58,8.56,74.5,critical,95.0,0.0,0.0,0.0
BATCH-PRX-01012,2025-01-27 00:00:00,Wholesaler Depot,Ginger,Spice,559,104.9,18,20,2,15.4,12.0,89.5,109.36,64.74,40.8,high,45.0,78.1,5056.19,156.2
BATCH-PRX-01088,2025-01-27 00:00:00,Wholesaler Depot,Apple,Fruit,3063,2245.6,0,25,25,8.2,2.0,90.9,177.67,146.76,17.4,low,29.9,1357.2,199182.67,2714.4
BATCH-PRX-01147,2025-01-27 00:00:00,Farm Hub,Onion,Vegetable,4475,1576.9,18,30,12,23.4,10.0,79.4,40.53,34.82,14.1,low,58.6,921.9,32100.56,1843.8
BATCH-PRX-01217,2025-01-27 00:00:00,Wholesaler Depot,Ginger,Spice,4290,1637.7,10,20,10,17.3,12.0,89.3,129.18,111.74,13.5,low,26.2,951.5,106320.61,1903.0
BATCH-PRX-01998,2025-01-27 00:00:00,Wholesaler Depot,Rice,Cereal,1633,229.0,228,180,-48,22.8,22.0,74.5,54.96,13.96,74.6,critical,95.0,0.0,0.0,0.0
BATCH-PRX-01579,2025-01-28 00:00:00,Mandi Yard,Turmeric,Spice,4256,2227.5,29,120,91,19.2,20.0,65.6,162.97,138.2,15.2,low,5.0,1316.9,181995.58,2633.8
BATCH-PRX-00831,2025-01-29 00:00:00,Farm Hub,Tomato,Vegetable,1363,237.6,7,7,0,23.6,12.0,87.1,43.88,10.97,75.0,critical,100.0,225.7,2475.93,451.4
BATCH-PRX-01234,2025-01-29 00:00:00,Retail Supermarket,Tomato,Vegetable,1758,248.0,8,7,-1,14.4,12.0,89.9,39.76,9.94,75.0,critical,95.0,0.0,0.0,0.0
BATCH-PRX-01275,2025-01-29 00:00:00,Retail Supermarket,Cabbage,Vegetable,1327,1094.2,0,12,12,17.9,4.0,86.7,24.11,21.36,11.4,low,60.6,621.9,13283.78,1243.8
BATCH-PRX-01678,2025-01-29 00:00:00,Mandi Yard,Apple,Fruit,290,163.4,2,25,23,6.2,2.0,87.5,161.98,150.64,7.0,low,5.0,88.6,13346.7,177.2
BATCH-PRX-01081,2025-01-30 00:00:00,Wholesaler Depot,Potato,Vegetable,2630,510.8,30,35,5,21.2,8.0,75.2,31.9,24.5,23.2,medium,72.8,326.5,7999.25,653.0
BATCH-PRX-01293,2025-01-30 00:00:00,Farm Hub,Banana,Fruit,492,90.0,5,6,1,15.9,14.0,65.7,49.07,18.99,61.3,critical,75.0,78.1,1483.12,156.2
BATCH-PRX-01955,2025-01-30 00:00:00,Retail Supermarket,Potato,Vegetable,1059,600.5,10,35,25,11.0,8.0,68.4,30.23,27.63,8.6,low,5.0,331.2,9151.06,662.4
BATCH-PRX-01994,2025-01-30 00:00:00,Retail Supermarket,Garlic,Spice / Vegetable,1020,165.4,76,60,-16,27.0,15.0,89.9,176.95,44.24,75.0,critical,100.0,0.0,0.0,0.0
BATCH-PRX-00839,2025-01-31 00:00:00,Wholesaler Depot,Turmeric,Spice,1892,292.7,110,120,10,31.5,20.0,91.9,166.13,156.83,5.6,low,50.9,156.2,24496.85,312.4
BATCH-PRX-00969,2025-01-31 00:00:00,Farm Hub,Cauliflower,Vegetable,1755,1195.7,1,8,7,17.2,5.0,81.9,29.99,21.89,27.0,medium,68.7,791.6,17328.12,1583.2
BATCH-PRX-00032,2025-02-01 00:00:00,Retail Supermarket,Cauliflower,Vegetable,3635,668.2,10,8,-2,17.0,5.0,91.3,33.76,8.44,75.0,critical,100.0,0.0,0.0,0.0
BATCH-PRX-00531,2025-02-01 00:00:00,Farm Hub,Green Chilli,Spice / Vegetable,3689,713.5,13,10,-3,13.5,10.0,79.5,152.11,38.03,75.0,critical,95.0,0.0,0.0,0.0
BATCH-PRX-00648,2025-02-02 00:00:00,Wholesaler Depot,Rice,Cereal,2264,1067.8,84,180,96,22.4,22.0,84.6,56.09,51.15,8.8,low,5.0,590.3,30193.84,1180.6
BATCH-PRX-01089,2025-02-02 00:00:00,Wholesaler Depot,Orange,Fruit,3819,1091.0,9,14,5,16.4,6.0,79.3,68.01,50.06,26.4,medium,61.5,718.3,35958.1,1436.6
BATCH-PRX-01511,2025-02-02 00:00:00,Retail Supermarket,Wheat,Cereal,3914,621.2,199,180,-19,20.9,22.0,74.2,37.48,9.37,75.0,critical,95.0,0.0,0.0,0.0
BATCH-PRX-01661,2025-02-02 00:00:00,Retail Supermarket,Ginger,Spice,3781,1160.3,12,20,8,21.3,12.0,82.2,113.13,100.57,11.1,low,42.1,657.4,66114.72,1314.8
BATCH-PRX-00135,2025-02-03 00:00:00,Wholesaler Depot,Orange,Fruit,1100,705.8,5,14,9,9.8,6.0,76.8,58.43,52.94,9.4,low,5.0,392.7,20789.54,785.4
BATCH-PRX-00288,2025-02-03 00:00:00,Farm Hub,Green Chilli,Spice / Vegetable,1098,146.0,9,10,1,8.6,10.0,67.4,140.51,54.8,61.0,critical,75.0,126.4,6926.72,252.8
BATCH-PRX-01706,2025-02-03 00:00:00,Farm Hub,Orange,Fruit,359,232.7,1,14,13,13.0,6.0,89.0,57.5,53.42,7.1,low,33.1,126.3,6746.95,252.6
BATCH-PRX-00189,2025-02-04 00:00:00,Retail Supermarket,Garlic,Spice / Vegetable,1913,253.9,49,60,11,17.2,15.0,81.6,191.97,181.03,5.7,low,5.0,135.6,24547.67,271.2
BATCH-PRX-00611,2025-02-04 00:00:00,Wholesaler Depot,Tomato,Vegetable,2616,684.8,5,7,2,14.3,12.0,66.7,43.32,23.87,44.9,high,45.0,526.9,12577.1,1053.8
BATCH-PRX-00794,2025-02-05 00:00:00,Farm Hub,Cauliflower,Vegetable,1599,360.5,5,8,3,3.5,5.0,85.4,28.31,16.17,42.9,high,45.0,273.0,4414.41,546.0
BATCH-PRX-01050,2025-02-05 00:00:00,Mandi Yard,Banana,Fruit,4126,586.1,6,6,0,24.5,14.0,78.1,51.74,12.94,75.0,critical,100.0,556.8,7204.99,1113.6
BATCH-PRX-01826,2025-02-05 00:00:00,Mandi Yard,Wheat,Cereal,3704,528.4,219,180,-39,26.3,22.0,75.7,35.18,8.79,75.0,critical,95.0,0.0,0.0,0.0
BATCH-PRX-01961,2025-02-05 00:00:00,Retail Supermarket,Cabbage,Vegetable,3849,2991.5,0,12,12,6.1,4.0,79.2,25.95,20.53,20.9,low,5.0,1870.9,38409.58,3741.8
