state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price,arrivals_in_tonnes
Tamil Nadu,Tiruchirappalli,Gandhi Market Trichy,Banana,Robusta,2023-01-03,3503,4622,4020,119.6
Maharashtra,Jalgaon,Jalgaon Fruit Market,Banana,Robusta,2023-01-03,3722,4482,4073,111.1
Tamil Nadu,Coimbatore,Coimbatore APMC,Cabbage,Golden Acre,2023-01-03,1589,2094,1823,81.7
Tamil Nadu,Coimbatore,Coimbatore APMC,Carrot,Ooty Orange,2023-01-03,3252,3983,3590,65.6
Tamil Nadu,Nilgiris,Mettupalayam Market,Carrot,Ooty Orange,2023-01-03,3244,3989,3588,72.8
Karnataka,Bengaluru,Yeshwanthpur APMC,Carrot,Ooty Orange,2023-01-03,3199,3858,3504,58.4
Tamil Nadu,Dindigul,Oddanchatram Market,Cauliflower,Snowball,2023-01-03,2004,2464,2217,86.1
Maharashtra,Nashik,Lasalgaon APMC,Garlic,Desi,2023-01-03,10857,13694,12167,33.6
Madhya Pradesh,Mandsaur,Mandsaur Mandi,Garlic,Desi,2023-01-03,12464,14786,13536,28.4
Karnataka,Mysuru,Bandipalya APMC,Ginger,Fresh Green,2023-01-03,8270,10002,9070,32.4
Tamil Nadu,Coimbatore,Coimbatore APMC,Ginger,Fresh Green,2023-01-03,8047,10451,9157,38.5
Tamil Nadu,Salem,Salem Agri Market,Green Chilli,Spicy Hybrid,2023-01-03,9309,11031,10104,46.8
Karnataka,Bengaluru,Yeshwanthpur APMC,Green Chilli,Spicy Hybrid,2023-01-03,9777,11646,10640,38.0
Delhi,North Delhi,Azadpur Mandi,Onion,Red Nasik,2023-01-03,2003,2565,2263,447.1
Tamil Nadu,Coimbatore,Coimbatore APMC,Onion,Red Nasik,2023-01-03,1958,2501,2209,422.0
Maharashtra,Pune,Pune Market Yard,Onion,Red Nasik,2023-01-03,2025,2463,2228,591.8
Delhi,North Delhi,Azadpur Mandi,Orange,Nagpur Mandarin,2023-01-03,4082,5327,4657,98.5
Uttar Pradesh,Agra,Agra Mandi,Potato,Jyoti,2023-01-03,1945,2440,2174,277.0
Punjab,Amritsar,Amritsar Grain Market,Rice,Sona Masoori,2023-01-03,3304,3958,3606,938.8
Andhra Pradesh,Guntur,Guntur Yard,Rice,Sona Masoori,2023-01-03,3499,4176,3812,893.1
Tamil Nadu,Coimbatore,Coimbatore APMC,Tomato,Hybrid,2023-01-03,1931,2481,2185,131.2
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Tomato,Hybrid,2023-01-03,2036,2421,2214,111.2
Karnataka,Bengaluru,Yeshwanthpur APMC,Tomato,Hybrid,2023-01-03,1954,2483,2199,135.8
Tamil Nadu,Erode,Erode Turmeric Market,Turmeric,Finger Salem,2023-01-03,11354,13500,12345,39.6
Telangana,Nizamabad,Nizamabad APMC,Turmeric,Finger Salem,2023-01-03,10660,12593,11553,40.9
Maharashtra,Sangli,Sangli Turmeric Market,Turmeric,Finger Salem,2023-01-03,10391,12383,11311,49.2
Madhya Pradesh,Indore,Indore Mandi,Wheat,Sharbati,2023-01-03,2401,2874,2620,829.8
Punjab,Ludhiana,Khanna Grain Market,Wheat,Sharbati,2023-01-03,2290,2689,2475,847.2
Delhi,North Delhi,Azadpur Mandi,Apple,Royal Delicious,2023-01-04,11562,15184,13234,73.0
Himachal Pradesh,Shimla,Dhali Mandi,Apple,Royal Delicious,2023-01-04,11291,14622,12829,72.2
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Apple,Royal Delicious,2023-01-04,10460,12939,11605,73.3
Tamil Nadu,Tiruchirappalli,Gandhi Market Trichy,Banana,Robusta,2023-01-04,3832,4509,4145,97.3
Maharashtra,Jalgaon,Jalgaon Fruit Market,Banana,Robusta,2023-01-04,3580,4731,4112,118.0
Tamil Nadu,Coimbatore,Coimbatore APMC,Cabbage,Golden Acre,2023-01-04,1579,1992,1770,94.3
Tamil Nadu,Nilgiris,Ooty Vegetable Market,Cabbage,Golden Acre,2023-01-04,1624,1900,1752,77.7
Maharashtra,Pune,Pune Market Yard,Cabbage,Golden Acre,2023-01-04,1518,1896,1693,115.1
Tamil Nadu,Coimbatore,Coimbatore APMC,Carrot,Ooty Orange,2023-01-04,3418,4128,3746,55.4
Tamil Nadu,Nilgiris,Mettupalayam Market,Carrot,Ooty Orange,2023-01-04,3335,4200,3735,72.7
Karnataka,Bengaluru,Yeshwanthpur APMC,Carrot,Ooty Orange,2023-01-04,2945,3828,3353,55.7
Delhi,North Delhi,Azadpur Mandi,Cauliflower,Snowball,2023-01-04,2263,2797,2510,78.9
Tamil Nadu,Dindigul,Oddanchatram Market,Cauliflower,Snowball,2023-01-04,2025,2656,2317,82.2
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Garlic,Desi,2023-01-04,11613,14714,13045,30.2
Maharashtra,Nashik,Lasalgaon APMC,Garlic,Desi,2023-01-04,11639,15421,13385,30.6
Madhya Pradesh,Mandsaur,Mandsaur Mandi,Garlic,Desi,2023-01-04,10577,13142,11761,31.1
Tamil Nadu,Coimbatore,Coimbatore APMC,Ginger,Fresh Green,2023-01-04,8754,11067,9822,36.5
Andhra Pradesh,Guntur,Guntur Mirchi Yard,Green Chilli,Spicy Hybrid,2023-01-04,9994,12794,11287,39.0
Karnataka,Bengaluru,Yeshwanthpur APMC,Green Chilli,Spicy Hybrid,2023-01-04,9341,11164,10183,39.6
Maharashtra,Nashik,Lasalgaon APMC,Onion,Red Nasik,2023-01-04,1981,2424,2186,561.3
Maharashtra,Pune,Pune Market Yard,Onion,Red Nasik,2023-01-04,2151,2585,2352,519.1
Uttar Pradesh,Agra,Agra Mandi,Potato,Jyoti,2023-01-04,2076,2463,2255,302.5
Punjab,Jalandhar,Jalandhar APMC,Potato,Jyoti,2023-01-04,1994,2363,2165,277.8
Punjab,Amritsar,Amritsar Grain Market,Rice,Sona Masoori,2023-01-04,3288,4097,3662,909.5
Andhra Pradesh,Guntur,Guntur Yard,Rice,Sona Masoori,2023-01-04,3555,4289,3894,740.9
Tamil Nadu,Thanjavur,Thanjavur Paddy Market,Rice,Sona Masoori,2023-01-04,3554,4210,3857,759.4
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Tomato,Hybrid,2023-01-04,1921,2410,2147,129.6
Karnataka,Bengaluru,Yeshwanthpur APMC,Tomato,Hybrid,2023-01-04,1847,2273,2044,125.9
Tamil Nadu,Erode,Erode Turmeric Market,Turmeric,Finger Salem,2023-01-04,10908,14374,12508,42.7
Maharashtra,Sangli,Sangli Turmeric Market,Turmeric,Finger Salem,2023-01-04,10707,12996,11764,40.5
Haryana,Karnal,Karnal Mandi,Wheat,Sharbati,2023-01-04,2260,2958,2583,1061.5
Punjab,Ludhiana,Khanna Grain Market,Wheat,Sharbati,2023-01-04,2339,2940,2617,809.6
Himachal Pradesh,Shimla,Dhali Mandi,Apple,Royal Delicious,2023-01-05,12269,15087,13570,65.2
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Apple,Royal Delicious,2023-01-05,10590,12911,11662,66.9
Tamil Nadu,Coimbatore,Coimbatore APMC,Banana,Robusta,2023-01-05,3509,4364,3904,124.6
Tamil Nadu,Tiruchirappalli,Gandhi Market Trichy,Banana,Robusta,2023-01-05,3283,4251,3730,131.3
Maharashtra,Jalgaon,Jalgaon Fruit Market,Banana,Robusta,2023-01-05,3643,4821,4187,107.9
Tamil Nadu,Coimbatore,Coimbatore APMC,Cabbage,Golden Acre,2023-01-05,1473,1914,1677,102.3
Maharashtra,Pune,Pune Market Yard,Cabbage,Golden Acre,2023-01-05,1519,1851,1673,110.2
Tamil Nadu,Coimbatore,Coimbatore APMC,Carrot,Ooty Orange,2023-01-05,3288,4017,3625,52.0
Tamil Nadu,Nilgiris,Mettupalayam Market,Carrot,Ooty Orange,2023-01-05,3277,4069,3643,58.1
Karnataka,Bengaluru,Yeshwanthpur APMC,Carrot,Ooty Orange,2023-01-05,2969,3863,3382,70.7
Delhi,North Delhi,Azadpur Mandi,Cauliflower,Snowball,2023-01-05,2043,2623,2311,66.7
Tamil Nadu,Dindigul,Oddanchatram Market,Cauliflower,Snowball,2023-01-05,2085,2587,2317,89.0
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Garlic,Desi,2023-01-05,10795,13650,12113,27.3
Maharashtra,Nashik,Lasalgaon APMC,Garlic,Desi,2023-01-05,11241,13823,12433,38.2
Andhra Pradesh,Guntur,Guntur Mirchi Yard,Green Chilli,Spicy Hybrid,2023-01-05,8917,11566,10140,46.7
Tamil Nadu,Salem,Salem Agri Market,Green Chilli,Spicy Hybrid,2023-01-05,8650,11249,9850,43.6
Karnataka,Bengaluru,Yeshwanthpur APMC,Green Chilli,Spicy Hybrid,2023-01-05,10029,12056,10965,38.1
Tamil Nadu,Coimbatore,Coimbatore APMC,Onion,Red Nasik,2023-01-05,1910,2279,2081,569.2
Maharashtra,Nashik,Lasalgaon APMC,Onion,Red Nasik,2023-01-05,1929,2455,2172,447.5
Maharashtra,Pune,Pune Market Yard,Onion,Red Nasik,2023-01-05,1864,2185,2013,478.0
Maharashtra,Nagpur,Nagpur APMC,Orange,Nagpur Mandarin,2023-01-05,4109,4906,4477,87.8
Uttar Pradesh,Agra,Agra Mandi,Potato,Jyoti,2023-01-05,1916,2446,2161,281.4
Punjab,Amritsar,Amritsar Grain Market,Rice,Sona Masoori,2023-01-05,3199,4201,3662,982.3
Andhra Pradesh,Guntur,Guntur Yard,Rice,Sona Masoori,2023-01-05,3426,4183,3776,839.5
Tamil Nadu,Thanjavur,Thanjavur Paddy Market,Rice,Sona Masoori,2023-01-05,3377,4202,3758,934.3
Delhi,North Delhi,Azadpur Mandi,Tomato,Hybrid,2023-01-05,1861,2321,2074,117.7
Tamil Nadu,Coimbatore,Coimbatore APMC,Tomato,Hybrid,2023-01-05,2063,2545,2286,97.2
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Tomato,Hybrid,2023-01-05,1836,2372,2084,137.5
Maharashtra,Nashik,Pimpalgaon APMC,Tomato,Hybrid,2023-01-05,1955,2301,2115,120.5
Karnataka,Bengaluru,Yeshwanthpur APMC,Tomato,Hybrid,2023-01-05,1942,2435,2170,146.2
Tamil Nadu,Erode,Erode Turmeric Market,Turmeric,Finger Salem,2023-01-05,10654,13114,11790,46.8
Telangana,Nizamabad,Nizamabad APMC,Turmeric,Finger Salem,2023-01-05,10820,13798,12195,45.0
Delhi,North Delhi,Azadpur Mandi,Apple,Royal Delicious,2023-01-06,11377,15094,13093,75.7
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Apple,Royal Delicious,2023-01-06,10691,13682,12072,78.8
Tamil Nadu,Coimbatore,Coimbatore APMC,Banana,Robusta,2023-01-06,3718,4360,4015,110.1
Tamil Nadu,Tiruchirappalli,Gandhi Market Trichy,Banana,Robusta,2023-01-06,3328,4362,3806,115.8
Maharashtra,Jalgaon,Jalgaon Fruit Market,Banana,Robusta,2023-01-06,3702,4632,4132,109.8
Tamil Nadu,Nilgiris,Ooty Vegetable Market,Cabbage,Golden Acre,2023-01-06,1495,1750,1613,92.4
Maharashtra,Pune,Pune Market Yard,Cabbage,Golden Acre,2023-01-06,1515,1781,1638,108.4
Tamil Nadu,Nilgiris,Mettupalayam Market,Carrot,Ooty Orange,2023-01-06,2867,3682,3244,64.6
Karnataka,Bengaluru,Yeshwanthpur APMC,Carrot,Ooty Orange,2023-01-06,3194,3954,3545,67.2
Delhi,North Delhi,Azadpur Mandi,Cauliflower,Snowball,2023-01-06,1911,2510,2188,98.7
Punjab,Ludhiana,Ludhiana Mandi,Cauliflower,Snowball,2023-01-06,1896,2379,2119,87.9
Maharashtra,Nashik,Lasalgaon APMC,Garlic,Desi,2023-01-06,10421,12853,11544,28.9
Madhya Pradesh,Mandsaur,Mandsaur Mandi,Garlic,Desi,2023-01-06,9929,12606,11165,42.4
Karnataka,Mysuru,Bandipalya APMC,Ginger,Fresh Green,2023-01-06,6883,8722,7732,40.7
Andhra Pradesh,Guntur,Guntur Mirchi Yard,Green Chilli,Spicy Hybrid,2023-01-06,9535,11959,10654,42.5
Tamil Nadu,Coimbatore,Coimbatore APMC,Onion,Red Nasik,2023-01-06,2062,2508,2268,555.8
Maharashtra,Nashik,Lasalgaon APMC,Onion,Red Nasik,2023-01-06,1602,2095,1830,639.8
Maharashtra,Pune,Pune Market Yard,Onion,Red Nasik,2023-01-06,1706,2006,1845,655.1
Delhi,North Delhi,Azadpur Mandi,Orange,Nagpur Mandarin,2023-01-06,4322,5704,4960,94.4
Delhi,North Delhi,Azadpur Mandi,Potato,Jyoti,2023-01-06,1814,2395,2083,348.8
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Potato,Jyoti,2023-01-06,1787,2247,2000,372.3
Punjab,Amritsar,Amritsar Grain Market,Rice,Sona Masoori,2023-01-06,3188,3988,3558,857.5
Andhra Pradesh,Guntur,Guntur Yard,Rice,Sona Masoori,2023-01-06,3439,4049,3721,857.1
Delhi,North Delhi,Azadpur Mandi,Tomato,Hybrid,2023-01-06,1996,2491,2225,134.2
Tamil Nadu,Coimbatore,Coimbatore APMC,Tomato,Hybrid,2023-01-06,2119,2642,2361,94.6
Maharashtra,Nashik,Pimpalgaon APMC,Tomato,Hybrid,2023-01-06,1930,2299,2101,113.1
Karnataka,Bengaluru,Yeshwanthpur APMC,Tomato,Hybrid,2023-01-06,1833,2237,2020,147.5
Telangana,Nizamabad,Nizamabad APMC,Turmeric,Finger Salem,2023-01-06,10448,13476,11846,47.1
Maharashtra,Sangli,Sangli Turmeric Market,Turmeric,Finger Salem,2023-01-06,9208,11545,10287,48.3
Haryana,Karnal,Karnal Mandi,Wheat,Sharbati,2023-01-06,2179,2651,2397,1159.3
Delhi,North Delhi,Azadpur Mandi,Apple,Royal Delicious,2023-01-07,10833,13913,12255,62.4
Himachal Pradesh,Shimla,Dhali Mandi,Apple,Royal Delicious,2023-01-07,11177,13070,12051,73.5
Maharashtra,Jalgaon,Jalgaon Fruit Market,Banana,Robusta,2023-01-07,3451,4460,3917,127.2
Tamil Nadu,Coimbatore,Coimbatore APMC,Cabbage,Golden Acre,2023-01-07,1563,1915,1726,78.4
Tamil Nadu,Nilgiris,Ooty Vegetable Market,Cabbage,Golden Acre,2023-01-07,1568,1838,1693,103.3
Tamil Nadu,Coimbatore,Coimbatore APMC,Carrot,Ooty Orange,2023-01-07,3114,3986,3517,69.3
Tamil Nadu,Nilgiris,Mettupalayam Market,Carrot,Ooty Orange,2023-01-07,2969,3510,3219,82.9
Karnataka,Bengaluru,Yeshwanthpur APMC,Carrot,Ooty Orange,2023-01-07,2950,3622,3261,67.6
Delhi,North Delhi,Azadpur Mandi,Cauliflower,Snowball,2023-01-07,2196,2567,2368,89.2
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Garlic,Desi,2023-01-07,10951,13051,11921,37.3
Karnataka,Mysuru,Bandipalya APMC,Ginger,Fresh Green,2023-01-07,6571,8297,7368,50.1
Kerala,Wayanad,Kalpetta Agri Market,Ginger,Fresh Green,2023-01-07,8445,9882,9109,35.2
Andhra Pradesh,Guntur,Guntur Mirchi Yard,Green Chilli,Spicy Hybrid,2023-01-07,9488,11127,10245,45.6
Delhi,North Delhi,Azadpur Mandi,Onion,Red Nasik,2023-01-07,1913,2317,2100,463.4
Maharashtra,Pune,Pune Market Yard,Onion,Red Nasik,2023-01-07,1656,2177,1897,513.3
Delhi,North Delhi,Azadpur Mandi,Orange,Nagpur Mandarin,2023-01-07,3965,4994,4440,97.4
Tamil Nadu,Coimbatore,Coimbatore APMC,Orange,Nagpur Mandarin,2023-01-07,3955,4701,4300,98.7
Maharashtra,Nagpur,Nagpur APMC,Orange,Nagpur Mandarin,2023-01-07,3881,5020,4407,111.9
Delhi,North Delhi,Azadpur Mandi,Potato,Jyoti,2023-01-07,1797,2140,1956,348.4
Punjab,Jalandhar,Jalandhar APMC,Potato,Jyoti,2023-01-07,1724,2256,1970,329.8
Punjab,Amritsar,Amritsar Grain Market,Rice,Sona Masoori,2023-01-07,3216,3874,3520,816.6
Tamil Nadu,Thanjavur,Thanjavur Paddy Market,Rice,Sona Masoori,2023-01-07,3424,4001,3691,867.1
Tamil Nadu,Coimbatore,Coimbatore APMC,Tomato,Hybrid,2023-01-07,1836,2333,2066,131.6
Maharashtra,Nashik,Pimpalgaon APMC,Tomato,Hybrid,2023-01-07,1646,2167,1887,145.0
Karnataka,Bengaluru,Yeshwanthpur APMC,Tomato,Hybrid,2023-01-07,1787,2310,2029,128.2
Tamil Nadu,Erode,Erode Turmeric Market,Turmeric,Finger Salem,2023-01-07,10014,13265,11515,50.7
Telangana,Nizamabad,Nizamabad APMC,Turmeric,Finger Salem,2023-01-07,10379,12370,11298,54.3
Maharashtra,Sangli,Sangli Turmeric Market,Turmeric,Finger Salem,2023-01-07,9555,11406,10410,42.9
Himachal Pradesh,Shimla,Dhali Mandi,Apple,Royal Delicious,2023-01-09,12330,14435,13302,69.3
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Apple,Royal Delicious,2023-01-09,11069,13007,11964,89.1
Tamil Nadu,Coimbatore,Coimbatore APMC,Banana,Robusta,2023-01-09,3331,4355,3804,111.7
Tamil Nadu,Tiruchirappalli,Gandhi Market Trichy,Banana,Robusta,2023-01-09,3565,4703,4091,123.4
Maharashtra,Jalgaon,Jalgaon Fruit Market,Banana,Robusta,2023-01-09,3614,4499,4023,104.3
Tamil Nadu,Nilgiris,Ooty Vegetable Market,Cabbage,Golden Acre,2023-01-09,1501,1853,1664,97.0
Maharashtra,Pune,Pune Market Yard,Cabbage,Golden Acre,2023-01-09,1411,1869,1623,82.9
Tamil Nadu,Nilgiris,Mettupalayam Market,Carrot,Ooty Orange,2023-01-09,3070,3972,3487,59.7
Karnataka,Bengaluru,Yeshwanthpur APMC,Carrot,Ooty Orange,2023-01-09,3429,4182,3777,67.6
Punjab,Ludhiana,Ludhiana Mandi,Cauliflower,Snowball,2023-01-09,2058,2586,2302,70.9
Tamil Nadu,Dindigul,Oddanchatram Market,Cauliflower,Snowball,2023-01-09,2120,2765,2418,69.4
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Garlic,Desi,2023-01-09,12188,15887,13896,30.4
Maharashtra,Nashik,Lasalgaon APMC,Garlic,Desi,2023-01-09,11540,13652,12515,32.4
Karnataka,Mysuru,Bandipalya APMC,Ginger,Fresh Green,2023-01-09,7913,9784,8777,34.8
Kerala,Wayanad,Kalpetta Agri Market,Ginger,Fresh Green,2023-01-09,8613,10404,9440,31.4
Andhra Pradesh,Guntur,Guntur Mirchi Yard,Green Chilli,Spicy Hybrid,2023-01-09,9449,12268,10751,42.8
Tamil Nadu,Salem,Salem Agri Market,Green Chilli,Spicy Hybrid,2023-01-09,9833,11971,10820,37.5
Karnataka,Bengaluru,Yeshwanthpur APMC,Green Chilli,Spicy Hybrid,2023-01-09,9713,12402,10955,45.5
Delhi,North Delhi,Azadpur Mandi,Onion,Red Nasik,2023-01-09,2095,2447,2258,398.8
Tamil Nadu,Coimbatore,Coimbatore APMC,Onion,Red Nasik,2023-01-09,1949,2325,2123,465.7
Maharashtra,Nashik,Lasalgaon APMC,Onion,Red Nasik,2023-01-09,1942,2575,2235,433.3
Maharashtra,Pune,Pune Market Yard,Onion,Red Nasik,2023-01-09,1830,2231,2016,535.0
Delhi,North Delhi,Azadpur Mandi,Orange,Nagpur Mandarin,2023-01-09,4331,5336,4795,97.4
Tamil Nadu,Coimbatore,Coimbatore APMC,Orange,Nagpur Mandarin,2023-01-09,4069,5145,4566,81.0
Delhi,North Delhi,Azadpur Mandi,Potato,Jyoti,2023-01-09,1812,2212,1997,351.0
Punjab,Amritsar,Amritsar Grain Market,Rice,Sona Masoori,2023-01-09,3182,4192,3649,975.0
Andhra Pradesh,Guntur,Guntur Yard,Rice,Sona Masoori,2023-01-09,3560,4255,3881,910.0
Tamil Nadu,Thanjavur,Thanjavur Paddy Market,Rice,Sona Masoori,2023-01-09,3284,4211,3712,932.4
Delhi,North Delhi,Azadpur Mandi,Tomato,Hybrid,2023-01-09,1786,2351,2047,127.5
Tamil Nadu,Coimbatore,Coimbatore APMC,Tomato,Hybrid,2023-01-09,1905,2402,2135,141.1
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Tomato,Hybrid,2023-01-09,1948,2433,2172,124.8
Telangana,Nizamabad,Nizamabad APMC,Turmeric,Finger Salem,2023-01-09,10222,12342,11201,39.7
Madhya Pradesh,Indore,Indore Mandi,Wheat,Sharbati,2023-01-09,2240,2857,2525,1008.8
Haryana,Karnal,Karnal Mandi,Wheat,Sharbati,2023-01-09,2276,2716,2480,1148.2
Punjab,Ludhiana,Khanna Grain Market,Wheat,Sharbati,2023-01-09,2185,2901,2516,1055.7
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Apple,Royal Delicious,2023-01-10,10589,13518,11941,70.4
Maharashtra,Jalgaon,Jalgaon Fruit Market,Banana,Robusta,2023-01-10,3391,4332,3826,104.7
Tamil Nadu,Nilgiris,Ooty Vegetable Market,Cabbage,Golden Acre,2023-01-10,1478,1947,1695,102.6
Maharashtra,Nashik,Lasalgaon APMC,Garlic,Desi,2023-01-10,12292,14616,13365,30.2
Karnataka,Mysuru,Bandipalya APMC,Ginger,Fresh Green,2023-01-10,6769,8728,7674,49.5
Tamil Nadu,Coimbatore,Coimbatore APMC,Ginger,Fresh Green,2023-01-10,7411,9234,8253,36.4
Andhra Pradesh,Guntur,Guntur Mirchi Yard,Green Chilli,Spicy Hybrid,2023-01-10,9833,12088,10874,37.2
Tamil Nadu,Salem,Salem Agri Market,Green Chilli,Spicy Hybrid,2023-01-10,8545,11178,9761,48.0
Tamil Nadu,Coimbatore,Coimbatore APMC,Onion,Red Nasik,2023-01-10,1950,2285,2105,520.3
Maharashtra,Nashik,Lasalgaon APMC,Onion,Red Nasik,2023-01-10,1897,2321,2093,519.7
Maharashtra,Pune,Pune Market Yard,Onion,Red Nasik,2023-01-10,1797,2300,2030,538.8
Tamil Nadu,Coimbatore,Coimbatore APMC,Orange,Nagpur Mandarin,2023-01-10,4394,5662,4980,96.1
Maharashtra,Nagpur,Nagpur APMC,Orange,Nagpur Mandarin,2023-01-10,4009,5115,4520,111.0
Delhi,North Delhi,Azadpur Mandi,Potato,Jyoti,2023-01-10,1819,2257,2022,310.6
Tamil Nadu,Thanjavur,Thanjavur Paddy Market,Rice,Sona Masoori,2023-01-10,3424,4060,3718,948.7
Tamil Nadu,Coimbatore,Coimbatore APMC,Tomato,Hybrid,2023-01-10,2173,2817,2471,120.1
Karnataka,Bengaluru,Yeshwanthpur APMC,Tomato,Hybrid,2023-01-10,2131,2567,2333,124.5
Madhya Pradesh,Indore,Indore Mandi,Wheat,Sharbati,2023-01-10,2338,3041,2663,952.2
Haryana,Karnal,Karnal Mandi,Wheat,Sharbati,2023-01-10,2243,2920,2556,968.3
Punjab,Ludhiana,Khanna Grain Market,Wheat,Sharbati,2023-01-10,2316,2754,2519,954.2
Delhi,North Delhi,Azadpur Mandi,Apple,Royal Delicious,2023-01-11,11791,14407,12999,71.2
Tamil Nadu,Tiruchirappalli,Gandhi Market Trichy,Banana,Robusta,2023-01-11,3466,4596,3988,112.9
Maharashtra,Pune,Pune Market Yard,Cabbage,Golden Acre,2023-01-11,1444,1913,1661,106.5
Tamil Nadu,Nilgiris,Mettupalayam Market,Carrot,Ooty Orange,2023-01-11,3661,4319,3965,64.0
Karnataka,Bengaluru,Yeshwanthpur APMC,Carrot,Ooty Orange,2023-01-11,3493,4230,3834,72.1
Punjab,Ludhiana,Ludhiana Mandi,Cauliflower,Snowball,2023-01-11,2073,2434,2240,90.9
Tamil Nadu,Dindigul,Oddanchatram Market,Cauliflower,Snowball,2023-01-11,2193,2732,2442,89.9
Tamil Nadu,Chennai,Koyambedu Wholesale Market,Garlic,Desi,2023-01-11,11828,14501,13062,31.0
Maharashtra,Nashik,Lasalgaon APMC,Garlic,Desi,2023-01-11,12766,15396,13980,27.9
Madhya Pradesh,Mandsaur,Mandsaur Mandi,Garlic,Desi,2023-01-11,10983,13437,12116,29.6
Karnataka,Mysuru,Bandipalya APMC,Ginger,Fresh Green,2023-01-11,7190,9202,8119,45.3
